"zip_code","year","tot_grocery"
"60601","2020",4
"60601","2013",3
"60601","2011",3
"60603","2020",1
"60603","2013",0
"60603","2011",0
"60605","2020",3
"60605","2013",2
"60605","2011",2
"60607","2020",3
"60607","2013",4
"60607","2011",4
"60608","2020",14
"60608","2013",18
"60608","2011",17
"60609","2020",5
"60609","2013",20
"60609","2011",18
"60610","2020",7
"60610","2013",11
"60610","2011",11
"60611","2020",4
"60611","2013",5
"60611","2011",5
"60612","2020",1
"60612","2013",4
"60612","2011",4
"60613","2020",5
"60613","2013",9
"60613","2011",9
"60614","2020",11
"60614","2013",11
"60614","2011",11
"60615","2020",5
"60615","2013",4
"60615","2011",3
"60616","2020",6
"60616","2013",8
"60616","2011",7
"60617","2020",8
"60617","2013",14
"60617","2011",13
"60618","2020",9
"60618","2013",17
"60618","2011",17
"60619","2020",4
"60619","2013",10
"60619","2011",9
"60620","2020",11
"60620","2013",17
"60620","2011",17
"60621","2020",2
"60621","2013",7
"60621","2011",7
"60622","2020",3
"60622","2013",14
"60622","2011",14
"60623","2020",7
"60623","2013",22
"60623","2011",20
"60624","2020",3
"60624","2013",8
"60624","2011",8
"60625","2020",4
"60625","2013",12
"60625","2011",12
"60626","2020",6
"60626","2013",11
"60626","2011",11
"60628","2020",3
"60628","2013",14
"60628","2011",13
"60629","2020",9
"60629","2013",15
"60629","2011",14
"60630","2020",5
"60630","2013",8
"60630","2011",7
"60631","2020",1
"60631","2013",2
"60631","2011",2
"60632","2020",10
"60632","2013",20
"60632","2011",20
"60634","2020",5
"60634","2013",13
"60634","2011",13
"60636","2020",3
"60636","2013",15
"60636","2011",15
"60637","2020",4
"60637","2013",11
"60637","2011",10
"60638","2020",5
"60638","2013",5
"60638","2011",4
"60639","2020",16
"60639","2013",32
"60639","2011",31
"60640","2020",9
"60640","2013",16
"60640","2011",16
"60641","2020",3
"60641","2013",10
"60641","2011",10
"60642","2020",1
"60642","2013",1
"60642","2011",1
"60643","2020",4
"60643","2013",9
"60643","2011",9
"60644","2020",3
"60644","2013",7
"60644","2011",7
"60645","2020",2
"60645","2013",4
"60645","2011",4
"60646","2020",3
"60646","2013",5
"60646","2011",5
"60647","2020",15
"60647","2013",18
"60647","2011",18
"60649","2020",3
"60649","2013",8
"60649","2011",8
"60651","2020",3
"60651","2013",11
"60651","2011",11
"60652","2020",1
"60652","2013",2
"60652","2011",2
"60653","2020",2
"60653","2013",6
"60653","2011",6
"60654","2020",2
"60654","2013",0
"60654","2011",0
"60655","2020",1
"60655","2013",3
"60655","2011",3
"60656","2020",2
"60656","2013",2
"60656","2011",2
"60657","2020",7
"60657","2013",5
"60657","2011",5
"60659","2020",3
"60659","2013",14
"60659","2011",14
"60660","2020",3
"60660","2013",9
"60660","2011",9
"60661","2020",4
"60661","2013",3
"60661","2011",3
"60707","2020",4
"60707","2013",3
"60707","2011",3
"60827","2020",1
"60827","2013",2
"60827","2011",2
NA,"2020",1
NA,"2013",0
NA,"2011",0
"60633","2020",0
"60633","2013",2
"60633","2011",2
